,country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
23630,Portugal,Complementary,0,0,No Deposit,0,Transient,G,0,3,0
23634,Portugal,Online TA,0,1,No Deposit,0,Transient,D,1,0,0
23636,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,2,0
23644,Non Portugal,Online TA,0,0,No Deposit,0,Transient,C,1,1,0
23668,Non Portugal,Online TA,0,1,No Deposit,0,Transient,B,0,1,0
23676,Portugal,Groups,0,0,No Deposit,236,Transient-Party,A,0,0,0
23687,Non Portugal,Direct,0,0,No Deposit,0,Transient-Party,A,0,1,0
23692,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,D,0,2,0
23699,Portugal,Direct,0,0,No Deposit,0,Group,D,0,0,1
23705,Non Portugal,Direct,0,0,No Deposit,0,Transient,F,0,2,0
23718,Portugal,Complementary,0,1,No Deposit,0,Transient,G,1,2,0
23732,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,1,1,0
23738,Portugal,Direct,0,1,No Deposit,0,Transient,D,0,3,0
23755,Non Portugal,Online TA,0,0,No Deposit,0,Contract,A,0,1,0
23776,Non Portugal,Corporate,0,1,No Deposit,0,Transient-Party,A,0,0,0
23779,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,E,0,0,1
23781,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,1,2,0
23785,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,2,1
23792,Non Portugal,Online TA,0,1,No Deposit,0,Contract,A,0,1,0
23808,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Group,E,0,0,0
23813,Non Portugal,Online TA,11,0,No Deposit,0,Transient,A,0,1,0
23821,Non Portugal,Direct,0,0,No Deposit,0,Transient-Party,E,1,1,0
23824,Non Portugal,Direct,0,1,No Deposit,0,Group,E,0,1,0
23829,Portugal,Direct,0,2,No Deposit,0,Transient-Party,F,0,2,0
23833,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
23834,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,1,1,0
23846,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,0,1
23851,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,1,1,0
23868,Portugal,Corporate,0,0,No Deposit,0,Transient-Party,A,0,1,1
23869,Non Portugal,Direct,0,1,No Deposit,0,Transient-Party,C,0,1,0
23875,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,D,0,5,0
23880,Non Portugal,Offline TA/TO,0,0,No Deposit,77,Transient-Party,A,0,0,1
23881,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,B,0,0,1
23886,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,0,0
23894,Portugal,Online TA,0,4,No Deposit,0,Transient,A,0,0,0
23898,Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,4,0
23899,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,2,1,0
23902,Portugal,Corporate,0,0,No Deposit,0,Transient,E,1,0,0
23909,Portugal,Complementary,0,0,No Deposit,0,Transient,A,1,3,0
23911,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
23924,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,0,1
23934,Non Portugal,Groups,0,1,No Deposit,0,Transient-Party,E,1,0,0
23941,Non Portugal,Online TA,0,4,No Deposit,0,Transient,A,0,3,0
23953,Portugal,Online TA,0,0,Non Refund,0,Transient,E,0,0,1
23965,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
23982,Portugal,Online TA,0,3,No Deposit,0,Transient,A,0,1,1
23990,Portugal,Corporate,0,1,No Deposit,0,Transient,E,0,1,0
23997,Non Portugal,Offline TA/TO,0,2,No Deposit,0,Contract,D,1,0,0
24004,Portugal,Direct,0,1,No Deposit,0,Transient,G,0,2,0
24017,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,1,0,0
24035,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,0,0
24040,Non Portugal,Online TA,0,2,No Deposit,0,Transient,C,0,1,0
24044,Non Portugal,Direct,0,1,No Deposit,0,Transient,D,0,1,0
24046,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
24052,Non Portugal,Direct,0,4,No Deposit,0,Transient,D,1,2,0
24057,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,0,1
24078,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,1,1,0
24103,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,1,1
24105,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,3,1
24114,Non Portugal,Online TA,0,2,No Deposit,0,Transient,F,0,0,0
24118,Non Portugal,Direct,13,1,No Deposit,0,Transient,D,0,0,0
24130,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,1,0,0
24136,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,3,0
24144,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
24161,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,1,1,0
24209,Portugal,Groups,0,4,No Deposit,0,Transient-Party,A,0,0,1
24217,Non Portugal,Direct,0,0,No Deposit,0,Transient,E,0,1,0
24224,Non Portugal,Direct,0,2,No Deposit,0,Transient,A,0,1,0
24225,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
24227,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,1,1
24247,Non Portugal,Online TA,0,0,No Deposit,0,Transient,H,0,1,1
24251,Portugal,Corporate,1,0,No Deposit,0,Transient,A,1,0,0
24270,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,1,1
24277,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
24278,Non Portugal,Direct,0,1,No Deposit,0,Transient,A,0,0,0
24279,Non Portugal,Online TA,0,3,No Deposit,0,Transient-Party,G,0,1,1
24285,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,B,0,1,0
24290,Non Portugal,Online TA,0,4,No Deposit,0,Transient-Party,G,0,0,0
24309,Portugal,Direct,0,2,No Deposit,0,Transient,D,0,4,0
24337,Non Portugal,Direct,0,1,No Deposit,0,Transient,A,0,0,0
24347,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,0,0
24349,Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,B,0,2,0
24352,Non Portugal,Online TA,0,0,No Deposit,0,Transient,B,0,1,1
24355,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,1,3,0
24359,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,B,0,2,0
24366,Portugal,Offline TA/TO,0,0,No Deposit,27,Transient-Party,A,0,0,0
24373,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,0,1
24375,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,2,0
24407,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
24408,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,G,0,1,0
24411,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,2,0
24418,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
24420,Non Portugal,Direct,0,1,No Deposit,0,Transient-Party,B,0,2,0
24436,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,0,1
24450,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
24451,Non Portugal,Complementary,0,1,No Deposit,0,Transient,A,0,2,0
24467,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,0,1
24476,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,2,0
24478,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,A,0,1,0
24482,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,1,2,0
24490,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,1,0
24496,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,3,0
24509,Portugal,Direct,0,3,No Deposit,0,Transient,D,0,2,0
24513,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,1,0
24519,Portugal,Direct,1,2,No Deposit,0,Transient,E,1,4,0
24525,Portugal,Groups,0,0,Non Refund,14,Transient,A,0,0,1
24526,Portugal,Direct,0,1,No Deposit,1,Transient,E,0,1,1
24531,Portugal,Direct,0,1,No Deposit,0,Transient,H,1,1,0
24534,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,1,0
24550,Non Portugal,Online TA,0,2,No Deposit,0,Transient-Party,A,1,1,0
24563,Non Portugal,Online TA,0,1,No Deposit,0,Contract,D,0,1,0
24569,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,0,0
24571,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,2,0
24576,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,0,1,1
24621,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,0,0,1
24630,Portugal,Groups,1,2,Non Refund,0,Transient,A,0,0,1
24631,Non Portugal,Aviation,0,3,No Deposit,0,Transient,A,0,0,0
24632,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,1,0,0
24634,Non Portugal,Online TA,0,2,No Deposit,0,Transient-Party,A,0,0,0
24642,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
24663,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
24668,Non Portugal,Online TA,0,0,No Deposit,0,Contract,A,0,1,0
24671,Portugal,Direct,0,1,No Deposit,0,Transient,E,0,3,0
24721,Portugal,Online TA,0,0,No Deposit,0,Contract,B,1,0,0
24727,Portugal,Online TA,0,2,No Deposit,0,Transient,A,1,3,0
24761,Non Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
24776,Non Portugal,Online TA,0,2,No Deposit,0,Transient,D,0,3,1
24781,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
24785,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
24802,Portugal,Direct,0,0,No Deposit,0,Transient-Party,D,0,2,0
24805,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,0,1
24818,Non Portugal,Direct,0,1,No Deposit,0,Transient,E,0,0,0
24828,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,E,1,0,0
24829,Portugal,Online TA,0,0,No Deposit,0,Transient,B,0,0,1
24848,Portugal,Groups,0,0,No Deposit,101,Transient-Party,D,0,0,1
24853,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,B,0,0,0
24854,Non Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
24856,Non Portugal,Corporate,0,1,No Deposit,0,Transient-Party,A,0,0,0
24857,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,G,1,0,0
24864,Portugal,Online TA,1,0,No Deposit,0,Transient,B,0,1,1
24867,Non Portugal,Corporate,0,1,No Deposit,0,Transient,A,0,1,0
24872,Non Portugal,Direct,0,2,No Deposit,5,Transient-Party,A,0,0,0
24876,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,D,0,0,0
24881,Portugal,Online TA,0,1,No Deposit,0,Transient-Party,B,0,1,1
24887,Portugal,Direct,0,1,No Deposit,0,Transient-Party,A,1,0,0
24892,Non Portugal,Corporate,0,1,No Deposit,0,Transient-Party,A,0,0,0
24897,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,1,0
24898,Non Portugal,Direct,0,0,No Deposit,0,Transient,C,0,0,0
24901,Non Portugal,Groups,1,0,Non Refund,0,Transient,E,0,0,1
24914,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,0,0
24918,Non Portugal,Groups,0,1,No Deposit,0,Transient,A,0,0,0
24920,Portugal,Direct,0,1,No Deposit,0,Transient,A,0,3,0
24943,Portugal,Direct,0,0,No Deposit,0,Transient,G,1,2,0
24950,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,D,0,1,0
24955,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,E,0,0,0
24968,Non Portugal,Online TA,0,1,No Deposit,0,Transient,C,0,1,0
24972,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
24976,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
24979,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,1
24980,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,0,1
24990,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,1
24994,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
24995,Portugal,Groups,0,3,No Deposit,87,Transient-Party,A,0,0,0
24996,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,0,0
24998,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,0,0
24999,Non Portugal,Online TA,0,1,No Deposit,0,Transient,B,0,0,1
25000,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,0,1
25015,Non Portugal,Online TA,0,1,No Deposit,0,Transient,C,0,0,0
25017,Non Portugal,Online TA,0,2,No Deposit,0,Transient,D,1,0,0
25019,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,2,1
25024,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,0
25026,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,1,0,0
25029,Non Portugal,Groups,0,12,No Deposit,0,Transient-Party,A,0,0,0
25036,Non Portugal,Groups,0,0,No Deposit,83,Transient-Party,A,0,0,0
25040,Non Portugal,Offline TA/TO,0,0,No Deposit,43,Transient-Party,A,0,2,0
25044,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,1,2,0
25049,Non Portugal,Groups,0,0,No Deposit,0,Transient,A,0,0,0
25062,Non Portugal,Online TA,0,1,No Deposit,0,Transient,C,1,2,0
25065,Non Portugal,Complementary,0,1,No Deposit,0,Transient,A,0,0,0
25076,Non Portugal,Groups,0,7,No Deposit,0,Transient-Party,C,0,0,0
25088,Non Portugal,Online TA,0,3,No Deposit,0,Transient,A,0,2,0
25090,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,0,0
25093,Non Portugal,Direct,0,1,No Deposit,0,Transient,E,0,0,0
25094,Portugal,Offline TA/TO,0,4,No Deposit,0,Transient-Party,A,0,2,1
25100,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,2,0
25105,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,B,0,1,0
25111,Portugal,Online TA,1,1,No Deposit,0,Transient-Party,G,0,1,1
25112,Non Portugal,Direct,0,0,No Deposit,0,Transient,C,0,2,0
25113,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,E,0,0,0
25130,Portugal,Online TA,0,2,No Deposit,0,Transient,E,0,0,1
25131,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,2,1
25139,Portugal,Groups,0,0,Refundable,0,Transient-Party,C,0,0,1
25140,Non Portugal,Complementary,0,0,No Deposit,0,Transient,E,0,0,0
25141,Portugal,Direct,0,0,No Deposit,0,Transient,A,1,3,0
25150,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,1,0
25153,Portugal,Corporate,1,2,No Deposit,0,Transient,A,0,0,0
25161,Portugal,Direct,0,5,No Deposit,0,Transient,C,0,0,0
25167,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,E,0,0,0
25174,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,1,1,0
25187,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,1,0,0
25196,Non Portugal,Online TA,0,3,No Deposit,0,Transient,A,0,1,0
25203,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,1,1,0
25210,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,3,0
25216,Non Portugal,Offline TA/TO,0,2,No Deposit,0,Transient,D,0,0,0
25228,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
25235,Non Portugal,Corporate,0,1,No Deposit,0,Transient-Party,A,0,0,0
25238,Non Portugal,Online TA,0,2,No Deposit,0,Transient-Party,A,1,2,0
25242,Portugal,Offline TA/TO,1,2,No Deposit,0,Transient-Party,A,0,0,1
25244,Non Portugal,Direct,0,2,No Deposit,0,Transient,A,1,1,0
25251,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,0,0
25263,Non Portugal,Direct,0,2,No Deposit,0,Transient,A,0,0,1
25282,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
25286,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,1,0
25289,Portugal,Direct,0,0,No Deposit,0,Transient,F,1,1,0
25290,Non Portugal,Online TA,0,3,No Deposit,0,Transient,D,0,3,0
25297,Non Portugal,Groups,0,2,No Deposit,0,Transient,A,0,0,0
25321,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
25325,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,1,4,0
25334,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,3,1
25336,Portugal,Online TA,0,2,No Deposit,0,Transient,E,0,3,0
25341,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,A,0,0,0
25345,Non Portugal,Corporate,0,0,No Deposit,0,Transient-Party,A,0,0,0
25349,Non Portugal,Offline TA/TO,0,0,No Deposit,40,Transient-Party,A,0,0,0
25376,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,A,0,0,0
25377,Non Portugal,Groups,0,2,No Deposit,0,Transient-Party,A,0,2,0
25384,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,1,0,0
25391,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
25402,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
25408,Non Portugal,Offline TA/TO,0,3,No Deposit,0,Transient-Party,A,0,1,0
25421,Portugal,Direct,0,5,No Deposit,0,Transient,D,1,0,0
25422,Non Portugal,Groups,0,0,No Deposit,0,Transient,A,0,0,0
25424,Portugal,Offline TA/TO,0,0,Non Refund,60,Transient,A,0,0,1
25445,Non Portugal,Online TA,0,2,No Deposit,0,Transient,F,0,1,0
25453,Non Portugal,Online TA,0,2,No Deposit,0,Transient,F,0,2,0
25455,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,B,0,1,0
25460,Non Portugal,Direct,0,2,No Deposit,0,Transient,D,0,0,0
25464,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,B,0,1,0
25472,Non Portugal,Direct,0,1,No Deposit,0,Transient,E,0,2,0
25476,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,2,0
25477,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
25479,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,1,3,0
25507,Non Portugal,Direct,0,2,No Deposit,0,Transient-Party,E,0,0,0
25518,Non Portugal,Online TA,0,0,No Deposit,0,Contract,A,0,0,0
25522,Non Portugal,Direct,0,0,No Deposit,0,Group,E,0,0,0
25532,Non Portugal,Online TA,0,0,No Deposit,0,Transient,C,1,3,0
25535,Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,C,0,0,0
25536,Non Portugal,Online TA,0,1,No Deposit,0,Transient,H,1,0,0
25547,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,2,0
25552,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,1,0,0
25553,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
25554,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,1,1,0
25572,Non Portugal,Direct,0,0,No Deposit,0,Transient,G,0,1,0
25597,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,3,1
25611,Non Portugal,Aviation,0,1,No Deposit,0,Transient,A,0,0,0
25615,Non Portugal,Online TA,0,2,No Deposit,0,Transient,D,0,3,0
25616,Non Portugal,Direct,0,0,No Deposit,0,Group,D,0,0,0
25626,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,D,0,1,0
25630,Non Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,1,0
25656,Non Portugal,Offline TA/TO,0,1,No Deposit,27,Transient-Party,A,0,0,0
25659,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,0,0
25662,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
25669,Non Portugal,Corporate,0,0,No Deposit,0,Transient-Party,D,0,0,0
25685,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,1,0
25691,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,0,0
25700,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,D,0,2,0
25705,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
25707,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,D,0,0,0
25714,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,1,2,0
25725,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,0
25734,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,1,1
25748,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,2,0
25749,Portugal,Direct,0,0,No Deposit,0,Contract,A,0,1,1
25758,Non Portugal,Direct,0,0,No Deposit,0,Transient,E,1,1,0
25767,Non Portugal,Direct,0,1,No Deposit,0,Transient-Party,B,0,0,0
25772,Non Portugal,Online TA,0,1,No Deposit,0,Transient,E,0,0,0
25783,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,E,1,2,0
25814,Non Portugal,Online TA,0,0,No Deposit,0,Transient,B,0,1,1
25819,Portugal,Offline TA/TO,0,0,No Deposit,147,Transient-Party,A,0,0,1
25822,Portugal,Online TA,0,0,No Deposit,0,Transient,G,1,2,0
25823,Non Portugal,Online TA,1,0,No Deposit,0,Transient,D,0,0,1
25843,Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,D,0,1,0
25851,Portugal,Groups,0,0,No Deposit,0,Transient,D,0,0,0
25859,Non Portugal,Direct,0,3,No Deposit,0,Transient,F,0,0,0
25882,Non Portugal,Groups,0,0,No Deposit,125,Transient-Party,E,0,0,0
25884,Non Portugal,Online TA,0,1,No Deposit,0,Transient,B,0,0,0
25893,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,4,0
25907,Non Portugal,Direct,0,0,No Deposit,0,Transient,G,0,0,0
25909,Non Portugal,Groups,0,3,No Deposit,0,Transient-Party,A,0,1,0
25912,Non Portugal,Aviation,0,0,No Deposit,0,Transient,A,0,0,0
25916,Non Portugal,Online TA,0,0,No Deposit,0,Transient,B,0,3,0
25917,Non Portugal,Direct,0,0,No Deposit,0,Transient,E,0,2,0
25918,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,1,1
25932,Non Portugal,Online TA,0,0,No Deposit,0,Transient,B,0,1,0
25933,Non Portugal,Direct,0,0,No Deposit,0,Transient,C,1,1,0
25941,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
25945,Non Portugal,Online TA,0,1,No Deposit,0,Transient,E,0,0,0
25961,Portugal,Direct,0,1,No Deposit,0,Transient-Party,B,0,0,0
25965,Non Portugal,Groups,0,3,No Deposit,0,Transient-Party,A,0,0,0
25968,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,1,0,0
25984,Non Portugal,Groups,0,1,No Deposit,0,Group,A,0,0,0
25985,Non Portugal,Direct,0,1,No Deposit,0,Transient-Party,A,0,1,0
25987,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,1,3,0
25995,Portugal,Direct,0,0,No Deposit,0,Transient-Party,C,0,2,0
26001,Portugal,Direct,0,4,No Deposit,0,Transient,G,1,1,0
26004,Portugal,Groups,0,3,No Deposit,87,Transient-Party,A,0,1,0
26027,Non Portugal,Groups,0,0,No Deposit,0,Transient,A,0,0,0
26049,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
26051,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,E,0,1,0
26067,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,1,0,0
26072,Non Portugal,Direct,0,0,No Deposit,0,Transient,C,0,1,0
26136,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,E,0,2,0
26146,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
26159,Non Portugal,Direct,0,1,No Deposit,0,Transient,C,1,2,0
26174,Portugal,Direct,1,0,No Deposit,0,Transient,E,0,0,1
26177,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,1,0,0
26193,Non Portugal,Online TA,0,0,No Deposit,0,Transient,B,0,0,1
26195,Portugal,Direct,0,1,No Deposit,0,Transient-Party,A,0,2,1
26204,Non Portugal,Aviation,0,0,No Deposit,0,Transient,A,0,0,0
26223,Non Portugal,Online TA,0,0,No Deposit,0,Contract,D,0,1,0
26229,Non Portugal,Online TA,0,1,No Deposit,0,Transient,B,0,1,0
26234,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,1
26237,Portugal,Online TA,0,1,No Deposit,0,Contract,D,1,0,0
26246,Portugal,Online TA,0,1,No Deposit,0,Transient-Party,D,0,2,1
26247,Non Portugal,Online TA,0,2,No Deposit,0,Transient,D,0,0,1
26249,Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,C,0,0,1
26251,Portugal,Direct,0,1,No Deposit,0,Transient-Party,B,1,1,0
26255,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
26256,Non Portugal,Direct,0,1,No Deposit,0,Transient,C,1,1,0
26265,Non Portugal,Online TA,0,2,No Deposit,0,Transient,D,0,0,0
26267,Non Portugal,Online TA,0,0,No Deposit,0,Transient,B,1,0,0
26270,Non Portugal,Online TA,1,0,No Deposit,0,Transient,A,0,2,1
26272,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,3,0
26288,Portugal,Online TA,0,0,No Deposit,0,Group,A,0,1,0
26293,Portugal,Offline TA/TO,0,3,No Deposit,0,Transient,E,0,0,0
26304,Non Portugal,Offline TA/TO,0,2,No Deposit,0,Transient,F,0,1,0
26319,Portugal,Groups,0,2,No Deposit,0,Transient,A,0,1,0
26329,Portugal,Online TA,0,0,No Deposit,0,Transient,C,1,2,0
26345,Non Portugal,Direct,0,1,No Deposit,0,Transient,B,0,1,1
26347,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,E,0,0,0
26350,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,3,0
26351,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,2,1
26367,Non Portugal,Direct,0,3,No Deposit,0,Transient,D,0,1,0
26371,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,1,0,0
26385,Non Portugal,Corporate,0,3,No Deposit,0,Transient,A,0,1,0
26389,Non Portugal,Offline TA/TO,0,5,No Deposit,0,Transient,D,0,0,0
26395,Non Portugal,Direct,0,0,No Deposit,0,Transient,E,0,0,1
26397,Non Portugal,Direct,0,1,No Deposit,0,Transient,D,0,2,0
26405,Non Portugal,Direct,0,0,No Deposit,0,Transient,E,0,1,0
26412,Non Portugal,Direct,0,1,No Deposit,0,Transient,G,1,0,0
26422,Non Portugal,Direct,0,0,No Deposit,0,Group,A,0,4,0
26424,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,3,0
